doc_id,path,error
DOC-1569,data/raw/CODEFEST/F3_Dinamicas_Territoriales/MAPP_OEA/pdfs/2008/MAPPOEA_2008-las-madres-de-la-candelaria.pdf,"Bounding box (0, 53.29134400000001, 481.8898, 612.8504560000001) is not fully within parent page bounding box (14.1732, -14.173199999999952, 496.063, 651.9686000000002)"
DOC-1570,data/raw/CODEFEST/F3_Dinamicas_Territoriales/MAPP_OEA/pdfs/2008/MAPPOEA_2008-una-experiencia-de-justicia-comunitaria-conciliemos.pdf,"Bounding box (0, 53.29134400000001, 481.8898, 612.8504560000001) is not fully within parent page bounding box (14.1732, -14.173199999999952, 496.063, 651.9686000000002)"
DOC-1577,data/raw/CODEFEST/F3_Dinamicas_Territoriales/MAPP_OEA/pdfs/2014/MAPPOEA_2014-conversatorios-sobre-restitucion-de-tierras-y-territorios-compressed.pdf,"Bounding box (0, 49.062079999999995, 704.721, 564.21392) is not fully within parent page bounding box (-9, 9.0, 695.721, 622.276)"
DOC-1706,data/raw/CODEFEST/F3_Dinamicas_Territoriales/RESDAL/resdal_catalogo.json,texto vacío tras extracción
DOC-1707,data/raw/CODEFEST/F3_Dinamicas_Territoriales/RESDAL/resdal_registro.json,texto vacío tras extracción
DOC-1819,data/raw/CODEFEST/F3_Dinamicas_Territoriales/SIPRI/sipri_data/SIPRI_catalog-2.json,texto vacío tras extracción
DOC-1823,data/raw/CODEFEST/F3_Dinamicas_Territoriales/SIPRI/sipri_data/pdfs/SIPRI_22136.pdf,No /Root object! - Is this really a PDF?
DOC-1833,data/raw/CODEFEST/F3_Dinamicas_Territoriales/SIPRI/sipri_data/pdfs/SIPRI_hsrc20lmip20report20320growth20employment20and20skills-1.pdf,No /Root object! - Is this really a PDF?
DOC-1836,data/raw/CODEFEST/F3_Dinamicas_Territoriales/SIPRI/sipri_full_catalogo.json,texto vacío tras extracción
DOC-1837,data/raw/CODEFEST/F3_Dinamicas_Territoriales/SIPRI/sipri_full_registro.json,texto vacío tras extracción
